,1.txt,10.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt
rehovot,1,0,0,0,0,0,0,0,0,0
israel,8,0,0,0,0,0,0,0,0,0
sequenced,3,0,0,0,0,0,0,0,0,0
bound,1,0,0,0,0,0,0,0,0,0
ribosome,1,0,0,0,0,0,0,0,0,0
finkel,1,0,0,0,0,0,0,0,0,0
scan,1,0,0,0,0,0,0,0,0,0
turned,3,0,0,0,0,0,0,0,0,0
entirely,2,1,0,0,1,0,0,0,0,0
shortened,1,0,0,0,0,0,0,0,0,0
newfound,2,0,0,0,0,0,0,0,0,0
neutrophil,4,0,0,0,0,0,0,0,0,0
primed,1,0,0,0,0,0,0,0,0,0
mildly,2,0,2,0,0,0,0,0,0,0
reproduced,1,0,0,0,0,0,0,0,0,0
aid,8,0,0,0,0,0,0,0,0,0
identification,2,0,0,0,0,0,0,0,0,0
critically,4,0,0,1,0,0,0,0,0,1
comprise,1,0,0,0,0,0,0,0,0,0
hyung,1,0,0,0,0,0,0,0,0,0
chun,1,0,0,0,0,0,0,0,0,0
learning,1,0,0,0,0,0,0,0,0,0
meizlish,1,0,0,0,0,0,0,0,0,0
record,5,0,0,0,0,0,0,0,0,2
ravaged,1,0,0,0,0,0,0,0,0,0
unique,2,0,0,0,0,0,0,0,0,0
profile,3,0,0,1,2,1,0,0,0,0
struck,1,0,0,0,0,0,0,0,0,0
failure,4,0,3,7,0,1,0,0,0,1
begun,2,0,0,0,0,0,0,0,0,0
tease,1,0,0,0,0,0,0,0,0,0
devastating,1,0,0,0,0,0,0,0,0,0
multisystem,1,0,0,0,0,0,0,0,0,0
diagnosed,2,0,0,0,0,4,0,0,0,2
hundred,3,0,0,0,0,0,0,0,0,0
share,4,1,0,0,0,0,0,1,0,0
similarity,1,0,0,0,0,0,0,0,0,0
childhood,1,7,0,0,0,0,0,0,0,0
kawasaki,3,0,0,0,0,0,0,0,0,0
biological,3,0,0,0,0,0,0,1,0,0
petter,1,0,0,0,0,0,0,0,0,0
brodin,1,0,0,0,0,0,0,0,0,0
karolinska,1,0,0,0,0,0,0,0,0,0
stockholm,1,0,0,0,0,0,0,0,0,0
consiglio,1,0,0,0,0,0,0,0,0,0
implicated,2,0,0,0,0,0,0,0,0,0
unlike,2,0,0,0,0,0,0,0,0,0
deficit,1,0,0,0,0,0,0,0,0,0
origin,4,0,0,0,0,0,0,0,0,0
steroid,7,0,0,0,0,0,0,1,0,0
corticosteroid,1,0,0,0,0,0,0,0,0,9
patient,13,1,77,109,90,73,0,28,23,108
continent,2,0,0,0,0,0,0,0,0,0
dexamethasone,1,0,0,3,0,0,0,0,0,0
ventilator,2,0,0,2,0,0,0,0,0,0
examine,1,0,1,0,1,1,0,0,0,0
sterne,1,0,0,0,0,0,0,0,0,0
bristol,2,0,0,0,0,0,0,0,0,0
react,2,0,0,0,0,0,0,0,0,0
am,2,0,0,0,0,0,0,0,0,0
assoc,2,0,0,0,0,0,0,0,0,0
status,1,0,1,8,9,0,0,0,0,0
randomly,4,0,1,2,2,2,0,0,0,0
assigned,3,0,7,5,3,3,0,0,0,0
pas,4,0,0,0,0,0,0,0,0,0
dutch,1,0,0,0,0,0,0,0,0,0
documented,2,0,0,0,0,0,0,0,0,1
sequencing,5,0,0,0,0,0,0,0,0,0
track,2,0,0,0,0,0,0,0,0,0
munnink,1,0,0,0,0,0,0,0,0,0
farmworkers,1,0,0,0,0,0,0,0,0,0
introduced,1,0,0,0,0,0,0,0,0,0
unchecked,1,0,0,0,0,0,0,0,0,0
becoming,3,0,0,0,1,0,0,0,0,0
reservoir,1,0,0,0,0,0,0,0,0,0
sweeping,3,0,0,0,0,0,0,0,0,0
iceland,6,0,0,0,0,0,0,0,0,0
endure,1,0,0,0,0,0,0,0,1,0
countering,1,0,0,0,0,0,0,0,0,0
disappear,1,0,0,0,0,0,0,0,0,0
invades,5,0,0,0,0,0,0,0,0,0
intruder,1,0,0,0,0,0,0,0,0,0
know,3,1,0,0,0,0,0,0,2,0
generate,1,0,0,0,0,0,0,0,0,0
kari,2,0,0,0,0,0,0,0,0,0
stefansson,2,0,0,0,0,0,0,0,0,0
decode,2,0,0,0,0,0,0,0,0,0
reykjavik,2,0,0,0,0,0,0,0,0,0
gudbjartsson,2,0,0,0,0,0,0,0,0,0
their,1,0,0,0,0,0,0,0,0,0
plateaued,1,0,0,0,0,0,0,0,0,0
duration,1,2,1,0,0,0,0,1,1,10
leaving,2,0,0,0,0,0,1,0,0,0
vulnerable,2,2,0,0,0,0,5,1,0,0
wave,4,0,0,0,0,0,0,0,0,0
octogenarian,1,0,0,0,0,0,0,0,0,0
ripped,1,0,0,0,0,0,0,0,0,0
england,3,0,0,1,0,0,0,0,0,0
during,1,1,0,0,0,0,0,0,0,0
residential,2,0,0,0,0,0,0,0,0,0
nursing,2,0,0,0,0,0,1,0,0,3
shamez,1,0,0,0,0,0,0,0,0,0
ladhani,2,0,0,0,0,0,0,0,0,0
particular,3,0,0,1,0,0,0,0,0,2
formed,1,0,0,0,0,0,0,0,0,0
and,1,0,3,1,1,1,0,0,0,2
guard,1,0,0,0,0,0,0,0,0,0
camp,7,0,0,0,0,0,0,0,0,0
prevented,6,0,0,0,0,0,0,0,0,0
overnight,2,0,0,0,0,0,0,0,2,0
maine,2,0,0,0,0,0,0,0,0,0
hosted,1,0,0,0,0,0,0,0,0,0
laura,1,0,1,0,0,0,0,0,0,0
blaisdell,2,0,0,0,0,0,0,0,0,0
portland,1,0,0,0,0,0,0,0,0,0
asked,1,0,0,0,0,0,0,0,0,2
attendee,4,0,0,0,0,0,0,0,0,0
camper,10,0,0,0,0,0,0,0,0,0
cohort,3,0,0,0,0,1,0,0,0,7
quarantining,4,0,0,0,0,0,0,0,0,0
quarantined,1,0,0,0,0,0,0,0,0,0
quarantine,2,0,0,0,0,0,0,0,0,0
pupil,1,0,0,0,0,0,0,0,0,0
matthew,1,0,0,0,0,0,0,0,0,0
kelly,1,0,0,0,0,0,0,0,0,0
duke,1,0,0,0,0,0,0,0,0,0
durham,1,0,0,0,0,0,0,0,0,0
carolina,2,0,4,0,0,0,0,0,0,0
hurst,1,0,0,0,0,0,0,0,0,0
only,2,0,0,0,0,1,0,0,0,1
implying,1,0,0,0,0,0,0,0,0,0
screening,2,0,2,0,1,0,0,0,0,0
sex,4,0,0,0,0,0,0,0,0,7
drive,2,0,0,0,0,0,0,0,0,0
men,7,0,0,1,0,0,0,1,0,12
variation,3,3,0,0,0,0,0,0,0,0
takahashi,2,0,0,0,0,0,0,0,0,0
noticed,2,0,0,0,0,0,0,0,0,0
male,1,0,0,0,1,0,0,1,0,0
typical,1,0,0,0,0,0,0,0,0,0
differed,1,0,1,0,0,0,0,0,0,0
female,1,0,0,0,0,0,0,1,0,1
gender,1,0,0,0,0,0,0,0,0,1
binary,1,0,0,0,0,0,0,0,0,0
fixed,1,0,0,0,1,1,0,0,0,0
cytokine,2,0,0,0,0,0,0,0,0,0
chemokines,1,0,0,0,0,0,0,0,0,0
stronger,1,0,0,0,0,0,0,0,0,0
increase,2,0,0,0,1,0,0,0,5,3
severity,3,11,0,3,0,5,0,0,0,36
weak,2,0,0,0,0,0,0,0,0,0
proposes,1,0,0,0,0,0,0,0,0,0
taking,4,0,0,0,0,0,0,1,0,0
think,1,0,0,0,0,0,0,0,0,0
prevents,1,0,0,0,0,0,0,0,0,0
durability,2,1,0,0,0,0,0,0,0,0
signal,1,0,0,1,0,0,0,0,0,0
wane,3,6,0,0,0,0,0,0,0,0
relate,1,0,0,0,0,0,0,0,0,0
prolonged,1,0,0,0,0,0,0,0,0,0
yuen,2,0,0,0,0,0,0,0,0,0
returning,2,0,0,0,0,0,0,0,0,0
via,1,0,0,0,0,0,0,0,0,1
distinct,3,0,0,0,0,0,0,0,0,1
bout,1,0,0,0,0,0,0,0,0,0
responded,1,0,0,0,0,0,0,0,0,0
fresh,1,0,0,0,0,0,0,0,0,0
nasal,7,0,0,0,0,0,0,0,0,5
vaccination,3,14,0,0,0,0,1,0,0,0
curiel,1,0,0,0,0,0,0,0,0,0
michael,5,0,0,0,0,0,0,0,0,0
diamond,3,0,0,0,0,0,0,0,0,0
st,1,0,0,0,0,0,0,0,0,2
missouri,2,0,0,0,0,0,0,0,0,0
encoding,3,0,0,0,0,0,0,0,0,0
hassan,2,0,0,0,0,0,0,0,0,0
bioengineered,1,0,0,0,0,0,0,0,0,0
inserted,2,0,0,0,0,0,0,0,0,0
exposure,6,2,0,1,0,0,0,0,0,0
measurable,1,0,0,0,0,0,0,0,0,0
warded,1,0,0,0,0,0,0,0,0,0
ling,1,0,0,0,0,0,0,0,0,0
chen,2,0,0,0,0,1,0,0,0,0
affiliated,3,0,0,0,0,0,0,0,0,0
guangzhou,4,0,0,0,0,0,0,0,0,0
feng,3,0,0,0,0,0,0,0,0,0
commun,1,0,0,0,0,0,0,0,0,0
mulatta,7,0,0,0,0,0,0,0,0,0
vaccinate,1,0,0,0,0,0,1,0,0,0
east,2,0,0,0,0,0,0,0,0,0
asia,2,0,0,0,0,0,0,0,0,0
unmutated,1,0,0,0,0,0,0,0,0,0
singapore,2,0,0,0,0,0,0,0,0,0
missing,2,0,0,0,0,0,0,0,0,5
chunk,2,0,0,0,0,0,0,0,0,0
spanned,1,0,0,0,0,0,0,0,0,0
deletion,4,0,0,0,0,0,0,0,0,0
lisa,2,0,0,0,0,0,0,0,0,0
network,1,0,0,1,0,0,0,0,1,0
carrying,3,0,0,0,0,0,0,0,0,0
lancet,11,0,0,0,0,0,0,0,0,0
supplemental,1,0,0,0,1,0,0,0,0,6
oxygen,1,0,6,1,0,0,0,0,0,11
lacked,1,0,1,0,1,0,0,0,0,0
possibly,1,0,0,0,0,0,0,0,0,0
owing,1,0,0,0,0,1,0,0,0,1
sars,6,4,0,0,0,0,0,0,0,4
acquired,3,1,0,0,0,0,0,0,0,0
adaption,1,0,0,0,0,0,0,0,0,0
correction,3,0,1,0,0,0,0,0,0,0
article,3,0,5,1,4,5,0,0,0,1
said,4,0,0,0,0,0,0,0,0,0
unprecedented,1,0,0,0,0,0,0,0,0,0
chart,1,0,0,0,0,0,0,0,0,0
intact,1,0,0,0,0,0,0,0,0,0
decorate,1,0,0,0,0,0,0,0,0,0
lock,1,0,0,0,1,1,0,0,0,0
onto,3,0,0,0,0,0,0,0,0,0
entry,5,0,1,0,3,2,0,0,0,1
gleaned,1,0,0,0,0,0,0,0,0,0
expressed,1,0,0,0,0,0,0,0,0,1
purified,2,0,0,0,0,0,0,0,0,0
briggs,1,0,0,0,0,0,0,0,0,0
council,1,0,0,0,1,1,0,0,0,4
molecular,3,0,0,0,0,0,0,0,0,0
electron,1,0,0,0,0,0,0,0,0,0
microscopy,2,0,0,0,0,0,0,0,0,0
ke,2,0,0,0,0,0,0,0,0,0
closely,3,0,0,0,0,0,0,0,0,0
resembled,1,0,0,0,0,0,0,0,0,0
adopt,1,0,0,0,0,0,0,0,1,0
confirmation,1,0,0,0,0,0,0,0,0,0
studying,2,1,0,0,0,0,0,0,0,0
sailor,1,0,0,0,0,0,0,0,0,0
furnish,1,0,0,0,0,0,0,0,0,0
fishing,2,0,0,0,0,0,0,0,0,0
boat,1,0,0,0,0,0,0,0,0,0
spared,1,0,0,0,0,0,0,0,0,0
direct,2,0,0,1,0,0,0,1,0,1
compound,6,0,0,0,0,0,0,0,0,0
greninger,1,0,0,0,0,0,0,0,0,0
addetia,1,0,0,0,0,0,0,0,0,0
ship,2,0,0,0,0,0,0,0,0,0
departure,2,0,0,0,0,0,0,0,0,0
left,1,0,1,0,0,0,0,0,0,0
shore,1,0,0,0,0,0,0,0,0,0
embarking,1,0,0,0,0,0,0,0,0,0
escaped,1,0,0,0,0,0,0,0,0,0
spit,3,0,0,0,0,0,0,0,0,0
painless,1,0,0,0,0,0,0,0,0,0
chantal,1,0,0,0,0,0,0,0,0,0
vogels,3,0,0,0,0,0,0,0,0,0
simple,1,0,1,0,0,0,0,0,0,0
saliva,7,0,0,0,0,0,0,0,0,0
salivadirect,2,0,0,0,0,0,0,0,0,0
address,2,0,0,2,0,1,0,0,1,0
demand,1,0,1,0,0,0,0,0,0,0
extensive,2,0,0,0,0,0,0,0,0,0
lift,1,0,0,0,0,0,0,0,0,0
trained,2,0,0,0,0,0,0,0,0,2
avoids,1,0,0,0,0,0,0,0,0,0
extract,2,0,0,0,0,0,0,0,0,0
validation,1,0,0,0,0,0,0,0,0,1
requested,1,0,0,0,0,0,0,0,0,0
authorize,1,0,0,0,0,0,0,0,0,0
emergency,1,0,1,0,1,5,0,0,0,0
nevertheless,1,0,0,0,0,1,0,0,0,0
daniela,1,0,0,0,0,0,0,0,0,0
weiskopf,1,0,0,0,0,0,0,0,0,0
mateus,1,0,0,0,0,0,0,0,0,0
activate,2,0,0,0,0,0,0,0,0,0
weight,4,0,0,3,0,1,0,0,0,0
existing,2,0,0,0,0,0,0,0,0,0
conclusion,1,1,1,1,1,1,0,0,0,0
blend,1,0,0,0,0,0,0,0,0,0
protects,4,0,0,0,1,0,0,0,0,0
mixture,1,0,0,0,0,0,0,0,0,0
attach,3,0,0,0,0,0,0,0,0,0
christos,1,0,0,0,0,0,0,0,0,0
kyratsous,1,0,0,0,0,0,0,0,0,0
pharmaceutical,1,0,0,0,4,0,0,0,0,0
baum,1,0,0,0,0,0,0,0,0,0
syrian,2,0,0,0,0,0,0,0,0,0
golden,2,0,0,0,0,0,0,0,0,0
mesocricetus,2,0,0,0,0,0,0,0,0,0
auratus,2,0,0,0,0,0,0,0,0,0
acutely,1,0,0,0,0,0,0,0,0,0
dosed,1,0,0,0,0,0,0,0,0,0
gained,1,0,0,0,0,0,0,0,0,0
infects,4,0,0,0,0,0,0,0,0,0
attending,1,0,0,0,0,0,0,0,0,0
christine,1,0,0,0,0,0,0,0,0,0
szablewski,2,0,0,0,0,0,0,0,0,0
department,1,0,0,0,3,5,0,0,0,0
mix,1,0,0,0,0,0,0,0,0,0
sleeping,2,0,0,0,0,0,0,0,0,0
wear,2,0,0,0,0,0,0,0,0,0
factor,2,2,0,2,1,8,0,1,1,11
contributing,1,0,0,0,0,0,0,0,0,0
describe,1,0,0,0,2,0,0,0,0,3
singing,1,0,0,0,0,0,0,0,0,0
cheering,1,0,0,0,0,0,0,0,0,0
seems,1,0,0,0,0,0,0,0,0,0
completely,1,0,0,1,0,0,1,0,0,2
hanneke,1,0,0,0,0,0,0,0,0,0
schuitemaker,1,0,0,0,0,0,0,0,0,0
janssen,1,0,0,0,0,0,0,0,0,0
leiden,1,0,0,0,0,0,0,0,0,0
beth,1,0,0,0,0,0,0,0,0,0
deaconess,1,0,0,0,0,0,0,0,0,0
mercado,1,0,0,0,0,0,0,0,0,0
comprised,2,0,0,0,0,0,0,0,0,0
weakened,1,0,0,0,0,0,0,0,0,0
coding,1,0,0,0,0,0,0,0,0,0
unexposed,1,0,0,0,0,0,0,0,0,0
prepared,1,0,1,1,0,0,0,0,0,0
focused,2,0,1,1,0,1,0,0,2,0
route,3,0,0,0,0,0,0,0,0,0
andreas,1,0,0,0,0,0,0,0,0,0
thiel,2,0,0,0,0,0,0,0,0,0
surveyed,2,0,0,0,0,0,0,0,0,0
braun,1,0,1,0,0,0,0,0,0,0
speculate,2,0,0,0,0,0,0,0,0,0
reactive,1,0,0,0,0,0,0,0,0,0
generated,2,0,0,0,0,0,0,0,0,0
past,3,0,0,0,0,0,0,0,0,0
elude,1,0,0,0,0,0,0,0,0,0
thwart,1,0,0,0,0,0,0,0,0,0
elicited,1,0,0,0,0,0,0,0,0,0
vesicular,1,0,0,0,0,0,0,0,0,0
stomatitis,1,0,0,0,0,0,0,0,0,0
livestock,1,0,0,0,0,0,0,0,0,0
grew,1,0,0,0,0,0,0,0,0,0
weisblum,1,0,0,0,0,0,0,0,0,0
allowed,4,0,0,0,0,0,0,0,7,0
evolving,1,0,0,0,0,0,0,0,0,0
resistance,1,1,0,0,0,1,0,0,0,0
seen,4,3,0,0,1,0,0,0,0,0
metric,1,0,0,0,0,0,0,0,0,0
serial,5,0,0,0,0,0,0,0,0,0
interval,5,0,4,4,4,2,0,0,0,0
shrank,2,0,0,0,0,0,0,0,0,0
drastically,1,0,0,0,0,0,0,0,0,0
success,3,0,0,0,0,0,0,0,0,0
benjamin,4,0,0,0,0,0,0,0,0,0
cowling,3,0,0,0,0,0,0,0,0,0
plummeted,1,0,0,0,0,0,0,0,0,0
ali,1,0,0,0,0,0,0,0,0,0
otherwise,1,1,0,0,1,0,0,0,0,3
slowing,2,1,0,0,0,0,0,0,0,0
real,1,0,0,0,0,0,0,0,0,0
transmissibility,1,2,0,0,0,0,0,0,0,0
cat,5,0,0,0,0,0,0,0,0,0
mirror,1,1,0,0,0,0,0,0,0,0
northern,2,0,0,0,0,0,0,2,0,0
pet,3,0,0,0,0,0,0,0,0,0
nicola,1,0,0,0,0,0,0,0,0,0
decaro,1,0,0,0,0,0,0,0,0,0
bari,1,0,0,0,0,0,0,0,0,0
rectal,1,0,0,0,0,0,0,0,0,0
patterson,1,0,0,0,0,0,0,0,0,0
unusual,1,0,0,0,0,0,0,0,0,0
rip,1,0,0,0,0,0,0,0,0,0
israeli,3,0,0,0,0,0,0,0,0,0
masking,1,0,0,0,0,0,0,0,0,0
suspended,1,0,0,0,0,0,0,0,0,0
secondary,2,2,10,7,1,2,0,0,0,1
remove,1,0,0,0,0,0,0,0,0,0
fully,2,0,0,1,2,1,0,0,0,0
ministry,1,0,0,0,0,0,0,0,0,0
euro,1,0,0,0,0,0,0,0,0,0
surveill,1,0,0,0,0,0,0,0,0,0
aided,1,0,0,0,0,0,0,0,0,0
prompting,1,1,0,0,0,0,0,0,0,0
heavy,1,0,0,0,0,0,0,0,0,0
suspension,1,0,0,0,0,0,0,0,0,0
requirement,1,0,0,0,1,0,0,0,0,0
face,5,1,0,0,0,0,0,0,0,0
crowding,1,0,0,0,0,0,0,0,0,0
classroom,1,0,0,0,0,0,0,0,0,0
held,1,0,0,0,0,0,2,0,0,0
space,1,0,0,0,0,1,0,0,1,0
allotment,1,0,0,0,0,0,1,0,0,0
square,1,0,1,0,0,1,0,0,0,0
metre,1,0,0,0,0,0,0,0,0,0
diverse,2,0,0,0,0,0,0,0,0,0
trove,1,0,0,0,0,0,0,0,0,0
hostile,1,0,0,0,0,0,0,0,0,0
trying,1,0,0,0,0,0,0,0,0,0
ho,2,0,0,0,0,0,0,0,0,0
columbia,1,0,0,0,0,0,0,0,0,0
vagelos,1,0,0,0,0,0,0,0,0,0
physician,1,0,2,1,2,0,0,0,0,1
surgeon,1,0,0,0,0,0,0,0,0,0
liu,4,0,0,0,0,0,0,0,0,2
nineteen,1,0,0,0,0,0,0,0,0,0
proved,1,0,0,0,0,0,0,0,0,0
fasten,1,0,0,0,0,0,0,0,0,0
site,6,0,1,7,2,0,0,0,1,0
difficult,2,1,0,0,0,0,0,0,0,3
clinician,1,0,0,0,0,0,0,0,0,0
decide,1,0,0,0,0,0,1,0,0,0
best,2,1,0,0,0,0,0,0,0,1
switzerland,4,0,0,0,0,0,0,0,0,0
onya,1,0,0,0,0,0,0,0,0,0
opota,1,0,0,0,0,0,0,0,0,0
lausanne,1,0,0,0,0,0,0,0,0,0
volume,1,0,0,0,0,0,0,0,0,3
jacot,1,0,0,0,0,0,0,0,0,0
gradually,1,0,0,0,0,0,0,0,0,0
progress,1,0,0,0,0,0,0,0,0,2
characterized,1,0,0,0,2,0,0,0,0,0
thus,1,2,0,1,1,0,0,0,0,0
serve,2,0,0,0,0,0,0,0,0,0
cue,1,0,0,0,0,0,0,0,0,0
correlation,2,0,0,0,0,0,0,0,0,0
predictor,1,0,0,0,1,1,0,0,0,0
peter,2,0,0,0,0,0,0,0,0,0
neutralize,2,0,0,0,0,0,0,0,0,0
fall,2,1,0,0,0,0,0,0,0,0
comprehensive,1,0,0,0,0,0,0,0,0,0
katie,1,0,0,0,0,0,0,0,0,0
doores,1,0,0,0,0,0,0,0,0,0
seow,1,0,0,0,0,0,0,0,0,0
undetectable,4,0,0,0,0,0,0,0,0,0
raising,2,0,0,0,0,0,0,0,0,0
promote,1,0,0,0,0,0,0,0,0,0
raise,2,0,0,0,0,0,0,0,0,3
top,1,2,0,0,0,0,0,0,0,0
generates,2,0,0,0,0,0,0,0,0,0
i,1,0,0,1,1,0,0,0,0,0
safety,4,0,4,11,13,6,0,0,0,0
generating,2,0,0,0,0,0,0,0,0,0
jackson,2,0,0,0,0,0,0,0,0,0
kaiser,1,0,0,0,0,0,0,0,0,0
permanente,1,0,0,0,0,0,0,0,0,0
injection,2,0,0,0,0,0,0,0,0,0
complication,1,0,0,0,3,0,0,0,0,3
capable,2,0,0,0,0,0,0,0,0,0
iii,2,0,0,0,0,0,0,0,0,0
begin,1,0,0,0,0,0,0,0,0,0
telltale,1,0,0,0,0,0,0,0,0,0
signature,1,0,0,0,0,0,0,0,0,0
terrier,1,0,0,0,0,0,0,0,0,0
hadjadj,1,0,0,0,0,0,0,0,0,0
unit,2,0,3,1,0,1,0,0,1,2
counter,1,0,0,0,0,0,0,0,0,0
started,4,0,0,0,0,0,0,0,0,0
interior,1,0,0,0,0,0,0,0,0,0
tagging,1,0,0,0,0,0,0,0,0,0
along,3,0,0,0,1,0,0,0,0,1
moving,1,0,0,0,0,0,0,0,0,0
coastal,3,0,0,0,0,0,0,0,0,0
imported,2,0,0,0,0,0,0,0,0,0
vespignani,1,0,0,0,0,0,0,0,0,0
northeastern,1,0,0,0,0,0,0,0,0,0
traffic,1,0,0,0,0,0,0,0,0,0
commuting,1,0,0,0,0,0,0,0,0,0
davis,1,0,0,0,0,0,0,0,0,0
international,2,0,0,1,1,1,0,0,0,0
drove,1,0,1,0,0,0,0,0,0,0
introduction,4,0,0,0,0,0,0,0,0,0
traveller,6,0,0,0,0,0,0,0,0,0
visitor,1,0,0,0,0,0,0,0,33,0
largely,1,0,0,0,0,0,0,0,0,3
find,6,0,0,0,0,0,0,0,0,1
nightclub,3,0,0,0,0,0,0,0,0,0
mobile,2,0,0,0,0,0,0,0,0,0
credit,2,0,0,0,0,0,0,0,0,0
card,2,0,0,0,0,0,0,0,0,0
popular,1,0,0,0,0,0,0,0,0,0
seoul,3,0,0,0,0,0,0,0,0,0
korean,1,0,0,0,0,0,0,0,0,0
noted,1,0,0,1,0,1,0,0,0,0
itaewon,2,0,0,0,0,0,0,0,0,0
club,2,0,0,0,0,0,0,0,0,0
jin,2,0,0,0,0,0,0,0,0,8
yong,1,0,0,0,0,0,0,0,0,0
boramae,1,0,0,0,0,0,0,0,0,0
payment,1,0,0,0,0,0,0,0,0,0
near,2,0,0,0,0,0,0,0,2,0
kang,1,0,0,0,0,0,0,0,0,0
encouraged,1,0,0,0,0,0,0,0,0,0
undergo,1,0,1,0,0,0,0,0,0,2
step,2,0,0,0,0,0,0,0,0,0
soar,2,0,0,0,0,0,0,0,0,0
weekly,3,0,0,1,0,0,0,0,0,0
safely,1,0,0,0,0,0,0,0,0,0
reopen,1,0,0,0,0,0,0,0,0,0
campus,1,0,0,0,0,0,0,0,0,0
paltiel,2,0,0,0,0,0,0,0,0,0
arise,1,1,0,0,0,0,0,0,0,0
semester,2,0,0,0,0,0,0,0,0,0
assumed,1,0,0,0,0,0,0,0,0,0
cost,2,0,2,1,0,0,0,0,0,0
growth,3,0,0,0,0,0,0,0,0,0
keeping,1,0,0,0,0,0,0,1,0,0
manageable,1,0,0,0,0,0,0,0,0,0
require,4,0,0,0,0,0,0,0,0,0
stress,2,0,0,0,0,0,0,0,0,1
preventive,1,0,0,0,0,0,0,0,0,0
remain,1,0,2,0,0,0,0,0,6,3
essential,2,0,0,0,0,0,1,0,0,1
wildly,1,0,0,0,0,0,0,0,0,0
disparate,1,0,0,0,0,0,0,0,0,0
between,1,0,0,0,0,0,0,1,0,0
marina,1,0,0,0,0,0,0,0,0,0
pollán,2,0,0,0,0,0,0,0,0,0
carlos,2,0,2,0,0,0,0,0,0,0
selected,2,0,1,0,0,0,0,0,0,0
geographical,1,0,0,0,0,0,0,1,0,0
basis,2,0,2,0,1,0,1,0,0,0
autopsy,4,0,0,0,0,0,0,0,0,0
mismatch,1,0,0,0,0,0,0,0,0,0
hotspot,4,0,0,0,0,0,0,0,0,0
numerous,2,0,0,0,0,0,1,1,0,0
contributes,1,0,0,0,0,0,0,0,0,0
christopher,1,0,0,0,0,0,0,0,0,0
lucas,1,0,0,0,0,0,0,0,0,0
dorward,2,0,0,0,0,0,0,0,0,0
edinburgh,2,0,0,0,0,0,0,0,0,0
anatomical,1,0,0,0,0,0,0,0,0,0
harboured,1,0,0,0,0,0,0,0,0,0
inflamed,1,0,0,0,0,0,0,0,0,0
damaged,1,0,0,0,0,0,0,0,0,0
contain,2,0,0,0,0,0,0,0,0,0
sensitivity,2,0,0,1,0,0,0,0,0,0
stopping,1,0,0,0,0,0,0,0,0,0
spiral,1,0,0,0,0,0,0,0,0,0
mean,4,1,2,1,8,7,0,3,3,1
insensitive,1,0,0,0,0,0,0,0,0,0
technique,6,0,0,0,0,0,0,0,0,0
quantitative,2,2,0,0,2,2,0,0,0,0
qpcr,2,0,0,0,0,0,0,0,0,0
merest,1,0,0,0,0,0,0,0,0,0
trace,2,0,0,0,0,0,0,0,0,0
expensive,2,0,0,0,0,0,0,0,0,0
mina,1,0,0,0,0,0,0,0,0,0
paired,2,0,0,0,0,0,0,0,0,2
limit,2,0,1,1,1,0,0,0,5,4
finely,1,0,0,0,0,0,0,0,0,0
achilles,1,0,0,0,0,0,0,0,0,0
heel,1,0,0,0,0,0,0,0,0,0
described,1,0,1,0,5,2,0,1,0,1
feat,1,0,0,0,0,0,0,0,0,0
fastens,1,0,0,0,0,0,0,0,0,0
sits,1,0,0,0,0,0,0,0,0,0
altered,2,0,0,0,1,0,0,0,0,0
causing,2,0,0,0,0,0,0,0,0,0
current,5,4,1,0,1,0,0,0,0,1
impair,1,0,0,0,0,0,0,0,0,0
knowledge,1,0,0,0,0,0,0,0,0,3
classic,1,0,1,0,0,0,0,0,0,0
lombardy,2,0,0,0,0,0,0,2,0,0
epicentre,1,0,0,0,0,0,0,0,0,0
piero,1,0,0,0,0,0,0,0,0,0
poletti,2,0,0,0,0,0,0,0,0,0
bruno,2,0,0,0,0,0,0,0,0,0
kessler,2,0,0,0,0,0,0,0,0,0
trento,2,0,0,0,0,0,0,0,0,0
marcello,1,0,0,0,0,0,0,0,0,0
tirani,1,0,0,0,0,0,0,0,0,0
agency,1,0,0,0,0,0,0,0,0,0
pavia,1,0,0,0,0,0,0,0,0,0
odds,1,0,0,0,0,0,0,0,0,3
experiencing,1,0,0,0,0,0,1,0,0,0
preparation,1,0,0,0,0,0,0,0,0,0
crispr,2,0,0,0,0,0,0,0,0,0
trawl,1,0,0,0,0,0,0,0,0,0
discovery,1,0,0,0,0,2,0,0,0,0
doench,1,0,0,0,0,0,0,0,0,0
broad,4,0,0,0,0,0,0,0,1,0
mit,5,0,0,0,0,0,0,0,0,0
craig,1,0,0,0,0,0,0,0,0,0
wilen,1,0,0,0,0,0,0,0,0,0
alter,1,0,0,1,0,0,0,0,0,0
cultured,2,0,0,0,0,0,0,0,0,0
influenced,1,0,0,0,0,0,0,0,0,0
wei,2,0,0,0,0,0,0,0,0,0
code,2,1,0,0,0,0,0,0,0,0
assist,2,0,0,0,0,0,0,0,0,0
pathway,2,0,0,0,0,0,0,0,0,0
inhibit,2,0,0,0,0,0,0,0,0,0
youth,1,0,0,0,0,0,0,0,0,0
elder,1,0,0,0,0,0,0,0,0,0
yang,5,0,0,0,0,0,0,0,0,0
florida,2,0,0,0,0,0,0,0,0,0
gainesville,1,0,0,0,0,0,0,0,0,0
jing,1,0,0,0,0,0,0,0,0,0
